HDF,datetime,CCGT,OIL,COAL,NUCLEAR,WIND,PS,NPSHYD,OCGT,OTHER,INTFR,INTIRL,INTNED,INTEW,BIOMASS,INTEM
FUELHH,2022-09-01 00:00:00,12833,0,880,4686,7031,0,92,7,184,0,4,0,0,2061,0
FUELHH,2022-09-01 00:30:00,12611,0,895,4698,7011,0,92,9,167,0,0,0,0,2058,0
FUELHH,2022-09-01 01:00:00,12417,0,823,4700,6928,0,92,9,148,0,0,0,0,2057,0
FUELHH,2022-09-01 01:15:00,NaN,0,824,4699,6928,0,92,9,NaN,0,0,0,0,2057,0
FUELHH,2022-09-01 01:18:00,12333,0,819,4698,7008,0,92,8,NaN,0,0,0,0,2057,0
FUELHH,2022-09-01 01:30:00,12332,0,735,4698,6855,0,92,9,145,0,14,0,0,2060,0
FUELHH,2022-09-01 02:00:00,12178,0,619,4698,6740,0,91,9,141,0,52,0,0,2066,0
FUELHH,2022-09-01 02:30:00,12071,0,492,4690,6545,0,91,9,150,0,16,0,0,2064,0
FUELHH,2022-09-01 03:00:00,12156,0,503,4692,6363,0,91,10,170,0,16,0,0,2064,0
FUELHH,2022-09-01 03:30:00,12250,0,557,4696,6184,0,91,10,157,0,22,0,0,2062,0
FUELHH,2022-09-01 03:45:00,NaN,0,560,4689,6185,0,91,10,NaN,0,22,0,0,2061,0
FUELHH,2022-09-01 04:00:00,12352,0,761,4705,5867,0,91,9,144,0,120,0,0,2060,0
FUELHH,2022-09-01 04:30:00,12656,0,898,4710,5487,0,91,9,152,0,150,0,0,2029,0
FUELHH,2022-09-01 05:00:00,12700,0,849,4710,5145,0,91,2,157,0,238,0,0,1888,0
FUELHH,2022-09-01 05:15:00,NaN,0,847,4711,5144,0,91,2,NaN,0,238,0,0,1888,0
FUELHH,2022-09-01 05:30:00,13795,0,829,4715,5010,0,91,66,144,0,176,0,18,1860,0
FUELHH,2022-09-01 06:00:00,14874,0,897,4708,4937,0,128,38,146,0,244,0,168,1860,0
FUELHH,2022-09-01 06:30:00,15941,0,899,4711,4833,0,126,24,371,0,236,0,316,1856,0
FUELHH,2022-09-01 07:00:00,16490,0,900,4715,4850,0,156,7,590,0,192,352,302,1908,0
FUELHH,2022-09-01 07:30:00,16579,0,898,4711,4789,174,171,45,858,0,104,378,282,2047,0
FUELHH,2022-09-01 08:00:00,16676,0,899,4701,4681,230,171,65,796,0,0,738,188,2056,168
FUELHH,2022-09-01 08:30:00,16935,0,900,4702,4555,232,166,60,857,0,0,762,92,2052,208
FUELHH,2022-09-01 09:00:00,16848,0,901,4707,4416,0,141,58,628,0,0,552,0,2050,602
FUELHH,2022-09-01 09:30:00,16801,0,901,4711,4182,0,140,57,472,0,0,552,0,2057,608
FUELHH,2022-09-01 10:00:00,16913,0,900,4729,4086,0,113,55,337,0,0,670,0,2051,742
FUELHH,2022-09-01 10:30:00,16873,0,902,4730,4080,0,94,51,271,0,0,672,0,2054,742
FUELHH,2022-09-01 11:00:00,16880,0,895,4732,4101,0,94,51,267,0,0,768,0,2047,584
FUELHH,2022-09-01 11:30:00,16535,0,905,4728,4252,0,93,50,361,0,0,770,0,2041,582
FUELHH,2022-09-01 12:00:00,16538,0,899,4734,4183,0,93,48,378,0,0,934,0,2054,840
FUELHH,2022-09-01 12:30:00,16560,0,907,4731,4092,16,93,47,350,0,0,934,0,2055,844
FUELHH,2022-09-01 13:00:00,16782,0,900,4764,4084,0,93,8,243,0,0,980,0,2048,482
FUELHH,2022-09-01 13:30:00,16526,0,918,4775,4202,0,93,1,191,0,0,978,0,2049,476
FUELHH,2022-09-01 14:00:00,16270,0,918,4774,4233,0,93,5,192,0,0,896,0,2051,366
FUELHH,2022-09-01 14:30:00,16361,0,918,4776,4257,0,93,11,239,0,0,896,0,2054,366
FUELHH,2022-09-01 15:00:00,16445,0,918,4780,4263,100,93,14,345,0,0,782,0,2056,622
FUELHH,2022-09-01 15:30:00,16564,0,913,4799,4359,230,100,56,489,0,0,782,0,2056,626
FUELHH,2022-09-01 16:00:00,16931,0,872,4807,4495,254,120,122,735,0,0,592,0,2055,198
FUELHH,2022-09-01 16:30:00,17130,0,843,4806,4429,656,137,150,913,0,0,586,0,2052,190
FUELHH,2022-09-01 17:00:00,17377,0,866,4814,4438,882,168,267,1030,0,0,644,0,2052,110
FUELHH,2022-09-01 17:30:00,17312,0,768,4806,4407,1312,198,308,1157,0,16,644,0,2052,110
FUELHH,2022-09-01 18:00:00,17295,0,764,4808,4350,1302,236,460,1059,0,16,508,0,2050,112
FUELHH,2022-09-01 18:30:00,17301,0,794,4801,4344,1262,254,467,1091,0,16,498,0,2055,112
FUELHH,2022-09-01 19:00:00,17465,0,908,4806,4488,1224,261,296,1114,0,16,306,20,2059,94
FUELHH,2022-09-01 19:30:00,17354,0,915,4801,4964,1196,260,251,1003,0,16,330,24,2057,94
FUELHH,2022-09-01 20:00:00,16806,0,919,4805,5383,1236,223,73,1179,0,74,672,58,2060,0
FUELHH,2022-09-01 20:30:00,16561,0,920,4804,5688,962,182,69,978,0,96,670,60,2061,0
FUELHH,2022-09-01 21:00:00,16565,0,920,4806,5763,554,166,55,587,0,76,486,32,2062,128
FUELHH,2022-09-01 21:30:00,16394,0,920,4809,5608,90,164,21,496,0,76,480,32,2062,128
FUELHH,2022-09-01 22:00:00,16464,0,919,4814,5383,202,153,2,240,0,124,0,94,2062,226
FUELHH,2022-09-01 22:30:00,15887,0,753,4816,5073,128,142,21,157,0,146,0,184,2062,222
FUELHH,2022-09-01 23:00:00,16409,0,506,4821,4765,94,128,71,167,0,82,0,106,2061,0
FUELHH,2022-09-01 23:30:00,16407,0,398,4831,4528,0,126,22,150,0,78,0,4,2062,0
FUELHH,2022-09-02 00:00:00,16123,0,479,4828,4156,0,114,17,150,0,0,0,0,2062,0
FUELHH,2022-09-02 00:30:00,15944,0,459,4829,4000,0,113,11,173,0,0,0,0,2060,0
FUELHH,2022-09-02 01:00:00,15644,0,393,4844,3802,0,113,3,161,0,0,0,0,2059,0
FUELHH,2022-09-02 01:30:00,15765,0,238,4848,3537,0,113,26,157,0,0,0,0,2060,0
FUELHH,2022-09-02 02:00:00,15749,0,230,4854,3233,0,94,58,161,0,0,0,0,2062,0
FUELHH,2022-09-02 02:30:00,15713,0,229,4854,3061,0,94,58,145,0,0,0,0,2060,0
FUELHH,2022-09-02 03:00:00,15902,0,229,4863,2967,0,94,62,141,0,16,0,0,2064,0
FUELHH,2022-09-02 03:30:00,15923,0,229,4871,2883,0,94,63,152,0,16,0,0,2061,0
FUELHH,2022-09-02 04:00:00,15971,0,231,4878,2743,0,94,63,168,0,16,0,0,2063,0
FUELHH,2022-09-02 04:30:00,16075,0,231,4884,2673,0,94,34,168,0,16,0,0,2064,0
FUELHH,2022-09-02 05:00:00,15999,0,233,4897,2670,0,108,10,390,0,78,0,50,2064,0
FUELHH,2022-09-02 05:30:00,16055,0,367,4898,2712,0,108,12,448,0,78,0,200,2061,0
FUELHH,2022-09-02 06:00:00,16358,0,498,4904,2806,0,114,38,525,0,208,0,350,2063,0
FUELHH,2022-09-02 06:30:00,17050,0,497,4911,2831,36,113,37,672,0,202,0,468,2062,0
FUELHH,2022-09-02 07:00:00,17084,0,491,4907,2828,396,175,92,764,0,84,356,378,2059,0
FUELHH,2022-09-02 07:30:00,17457,0,491,4907,2915,390,177,285,1115,0,0,396,232,2062,0
FUELHH,2022-09-02 08:00:00,17280,0,489,4907,3065,344,177,407,954,0,0,982,154,2060,228
FUELHH,2022-09-02 08:30:00,17543,0,489,4897,3185,342,160,368,1000,0,0,1002,100,2060,266
FUELHH,2022-09-02 09:00:00,17925,0,494,4901,3295,66,149,346,1055,0,0,1002,24,2060,676
FUELHH,2022-09-02 09:30:00,17995,0,498,4901,3467,0,150,282,991,0,0,1002,24,2058,684
FUELHH,2022-09-02 10:00:00,17845,0,493,4906,3626,0,115,218,518,0,0,1002,0,2057,916
FUELHH,2022-09-02 10:30:00,17832,0,496,4910,3621,16,113,128,572,0,0,1002,0,2056,918
FUELHH,2022-09-02 11:00:00,17489,0,499,4920,3868,0,80,125,676,0,0,1004,0,2055,998
FUELHH,2022-09-02 11:30:00,17265,0,498,4922,4025,52,79,127,649,0,0,1004,0,2056,998
FUELHH,2022-09-02 12:00:00,17317,0,501,4929,4351,0,79,103,651,0,0,1060,0,2056,844
FUELHH,2022-09-02 12:30:00,17351,0,496,4920,4539,90,79,109,503,0,0,1060,0,2055,842
FUELHH,2022-09-02 13:00:00,17106,0,495,4928,4666,68,79,200,527,0,0,1060,0,2077,680
FUELHH,2022-09-02 13:30:00,16577,0,483,4931,4997,0,79,218,604,0,0,1060,0,2120,674
FUELHH,2022-09-02 14:00:00,16639,0,488,4933,5273,0,80,157,379,0,0,768,74,2144,340
FUELHH,2022-09-02 14:30:00,16810,0,497,4930,5194,0,79,67,153,0,0,752,144,2169,308
FUELHH,2022-09-02 15:00:00,17088,0,484,4930,4931,246,78,45,154,0,0,988,212,2245,0
FUELHH,2022-09-02 15:30:00,17227,0,494,4934,4794,0,80,48,149,0,0,1002,252,2472,0
FUELHH,2022-09-02 16:00:00,17300,0,494,4942,5015,0,97,71,265,0,0,958,234,2653,0
FUELHH,2022-09-02 16:30:00,17437,0,487,4951,5309,88,99,44,459,0,0,956,222,2698,0
FUELHH,2022-09-02 17:00:00,16772,0,460,4995,5537,310,155,151,648,0,0,872,172,2697,0
FUELHH,2022-09-02 17:30:00,16775,0,394,5016,5760,588,206,193,819,0,0,856,172,2696,0
FUELHH,2022-09-02 18:00:00,17424,0,390,5027,6025,542,240,192,1003,0,10,650,212,2698,0
FUELHH,2022-09-02 18:30:00,17077,0,397,5024,6303,726,211,192,934,0,16,632,222,2691,0
FUELHH,2022-09-02 19:00:00,17615,0,407,5023,6677,716,208,191,570,0,88,348,202,2691,0
FUELHH,2022-09-02 19:30:00,17422,0,483,5021,7137,414,195,197,545,0,118,348,90,2658,0
FUELHH,2022-09-02 20:00:00,17216,0,481,5019,7692,400,164,85,389,0,38,316,0,2624,0
